Abenteuerreise; Reise
Lichtbogen; Bogen
Luftschloß; Schloß
Lesegewohnheit; Gewohnheit
Lichtblatt; Blatt
Liebesakt; Akt
Lehrzeit; Zeit
Laufbursche; Bursche
Lederrock; Rock
Lehrbezirk; Bezirk
Lichtschutz; Schutz
Liebesgott; Gott
Landschaft; Schaft
Lebenssinn; Sinn
Lehrmittel; Mittel
Laufmasche; Masche
Landesgrenze; Grenze
Leseprobe; Probe
Lichtpunkt; Punkt
Liebesroman; Roman
Lernkurve; Kurve
Lebensenergie; Energie
Landesfarbe; Farbe
Lebensstrom; Strom
Lichtspiel; Spiel
Landesteil; Teil
Lebenswende; Wende
Lehrgedicht; Gedicht
Lesezeichen; Zeichen
Liebeswahn; Wahn
Laufmaschine; Maschine
Lebensmacht; Macht
Lichtschein; Schein
Lehrtafel; Tafel
Liebesglück; Glück
Landeslinie; Linie
Lernform; Form
Lichtring; Ring
Lebensader; Ader
Lagerraum; Raum
Liebesbote; Bote
Landeshut; Hut
Lebensspur; Spur
Lichtblende; Blende
Lehrmacht; Macht
Liebesbund; Bund
Landestracht; Tracht
Lebenswasser; Wasser
Lernkraft; Kraft
Lichtbad; Bad
Liebeseid; Eid
Landesheld; Held
Lebensstil; Stil
Lehrmeinung; Meinung
Lichtschranke; Schranke
Liebeswelt; Welt
Landesmünze; Münze
Liebesbraut; Braut
Landesteil; Teil
Lebenswandel; Wandel
Lernkatalog; Katalog
Leuchtturm; Turm
Liebesgarten; Garten
Landesnorm; Norm
Lebensrhythmus; Rhythmus
Lichtfunke; Funke
Liebesgöttin; Göttin
Lebensstunde; Stunde
Lichtspalt; Spalt

Marktplatz; Platz
Maulwurfshügel; Hügel
Maschinenhalle; Halle
Meeresspiegel; Spiegel
Milchpreis; Preis
Mondschein; Schein
Morgengrauen; Grauen
Musikbox; Box
Mülleimer; Eimer
Mauerwerk; Werk
Markthalle; Halle
Mondlicht; Licht
Metallkette; Kette
Mörtelschicht; Schicht
Meisterwerk; Werk
Milchstraße; Straße
Messergriff; Griff
Möbelstück; Stück
Meeresküste; Küste
Mundwinkel; Winkel
Meeresboden; Boden
Maisfeld; Feld
Mitternacht; Nacht
Maschinenteil; Teil
Maulkorb; Korb
Meeresbrise; Brise
Morgenröte; Röte
Marmorsäule; Säule
Musikschule; Schule
Milchkanne; Kanne
Motorhaube; Haube
Muskelkraft; Kraft
Meinungsfreiheit; Freiheit
Medizinball; Ball
Meeresgrund; Grund
Messingdraht; Draht
Mondnacht; Nacht
Möbelhaus; Haus
Menschenmenge; Menge
Milchglas; Glas
Materialkosten; Kosten
Menschenhand; Hand
Meeresstrand; Strand
Maserholz; Holz
Münzgeld; Geld
Motorrad; Rad
Mittelpunkt; Punkt
Menschenwürde; Würde
Meerestiefe; Tiefe
Melkmaschine; Maschine
Muskelzelle; Zelle
Malerpalette; Palette
Meerwasser; Wasser
Milchbauer; Bauer
Mondkalender; Kalender
Menschenherz; Herz
Meeresbucht; Bucht
Marktstand; Stand
Maschendraht; Draht
Morgenluft; Luft
Mühlstein; Stein
Menschenopfer; Opfer
Menschenwelt; Welt
Malerwinkel; Winkel
Muskelkater; Kater
Meilenstein; Stein
Mauerblümchen; Blümchen
Mondscheibe; Scheibe
Musikstunde; Stunde
Materialwert; Wert
Menschenliebe; Liebe
Moosbeere; Beere
Mühlrad; Rad
Mülltonnendeckel; Deckel
Marmorbrocken; Brocken
Menschengruppe; Gruppe
Musikstück; Stück
Menschenwohl; Wohl
Mondfinsternis; Finsternis
Marmorskulptur; Skulptur
Milchkaffee; Kaffee
Meeresstille; Stille
Musikzimmer; Zimmer
Morgentau; Tau
Muskelschmerz; Schmerz
Mühlbetrieb; Betrieb
Menschenkenntnis; Kenntnis
Menschenfreund; Freund
Meeresspray; Spray
Mondnebel; Nebel
Materialeinkauf; Einkauf
Menschengesicht; Gesicht
Motorblock; Block
Masernimpfung; Impfung
Marienkäfer; Käfer
Meereswoge; Woge
Milchprodukt; Produkt
Menschenopfer; Opfer
Molkengetränk; Getränk
Meeresströmung; Strömung
Mehlspeise; Speise
Mittelstand; Stand
Menschenwürde; Würde
Meeresstrudel; Strudel
Marterpfahl; Pfahl
Menschenrecht; Recht
Mondkalender; Kalender
Morgenstern; Stern
Milchzahn; Zahn
Meeresbecken; Becken
Menschenleben; Leben
Maiglöckchen; Glöckchen
Mondsichel; Sichel
Muskelkraft; Kraft
Meereswellen; Welle
Marmorbad; Bad
Menschenkenntnis; Kenntnis
Mühlrad; Rad
Meeresbucht; Bucht
Meeresbrise; Brise
Motorhaube; Haube
Mondschein; Schein
Menschenwelt; Welt

Nachtlicht; Licht
Nadelbaum; Baum
Nachttisch; Tisch
Nähmaschine; Maschine
Nagelbrett; Brett
Namensschilder; Schilder
Naturschutz; Schutz
Nasenspitze; Spitze
Nebelmeer; Meer
Nestplatz; Platz
Netzkabel; Kabel
Neuanfang; Anfang
Nachbarhaus; Haus
Naturpark; Park
Nadelwald; Wald
Nachtfalter; Falter
Nachhilfeunterricht; Unterricht
Nachschlagewerk; Werk
Nahrungsmittel; Mittel
Nasenbein; Bein
Nebelbank; Bank
Neonlicht; Licht
Netzwerk; Werk
Neugier; Gier
Neumond; Mond
Nimmersatt; Satt
Nobelpreis; Preis
Nordpol; Pol
Notausgang; Ausgang
Notbremse; Bremse
Notstand; Stand
Notvorrat; Vorrat
Novemberregen; Regen
Nudelsuppe; Suppe
Nussbaum; Baum
Nutzfläche; Fläche
Nachruhm; Ruhm
Nachspielzeit; Zeit
Nadelöhr; Öhr
Nadelstich; Stich
Nähfaden; Faden
Nahrungskette; Kette
Namenstag; Tag
Nassraum; Raum
Naturfreund; Freund
Naturgesetz; Gesetz
Naturschutzgebiet; Gebiet
Naturstoff; Stoff
Nebeneffekt; Effekt
Nebenkosten; Kosten
Nebelhorn; Horn
Nebelschleier; Schleier
Nebensache; Sache
Netzanschluss; Anschluss
Netzstecker; Stecker
Neujahrsfest; Fest
Neuland; Land
Nordlicht; Licht
Notruf; Ruf
Nutzwert; Wert
Nachtruhe; Ruhe
Nadelkissen; Kissen
Nagelfeile; Feile
Nähgarn; Garn
Nasenflügel; Flügel
Naturkost; Kost
Negativfilm; Film
Nervensystem; System
Nestbau; Bau
Netzstrumpf; Strumpf
Nieselregen; Regen
Nordsee; See
Notsignal; Signal

Obstbaum; Baum
Obstkuchen; Kuchen
Obstkorb; Korb
Obstmesser; Messer
Obstschale; Schale
Obstgarten; Garten
Ochsenschwanz; Schwanz
Ofenrohr; Rohr
Ofentür; Tür
Ofenwärme; Wärme
Ohrring; Ring
Ohrläppchen; Läppchen
Ohrwurm; Wurm
Oktoberfest; Fest
Oktobermond; Mond
Opernsänger; Sänger
Opernhaus; Haus
Opfergabe; Gabe
Opferlamm; Lamm
Ordnungshüter; Hüter
Ordnungszahl; Zahl
Orgelspiel; Spiel
Orgelpfeife; Pfeife
Ortskern; Kern
Ortstafel; Tafel
Ostereier; Eier
Osterhase; Hase
Ostsee; See
Ozeangrund; Grund
Ozeanwasser; Wasser
Ozonloch; Loch
Ozonschicht; Schicht
Oberbau; Bau
Oberfläche; Fläche
Oberhand; Hand
Obergeschoss; Geschoss
Oberlicht; Licht
Oberschicht; Schicht
Objektschutz; Schutz
Obstwein; Wein
Ölfarbe; Farbe
Ölfeld; Feld
Öllampe; Lampe
Ölfass; Fass
Öltank; Tank
Olympiagold; Gold
Olympiasieger; Sieger
Onkelrolle; Rolle
Opernball; Ball
Opernglas; Glas
Orangensaft; Saft
Orangenschale; Schale
Orchestergraben; Graben
Orchideenart; Art
Orgelkonzert; Konzert
Orientierungslauf; Lauf
Ortsmitte; Mitte
Ostblock; Block
Ostersonne; Sonne
Ostwind; Wind
Ozeandampfer; Dampfer
Ozeanriese; Riese

Papierflieger; Flieger
Papierfabrik; Fabrik
Pappkarton; Karton
Parkbank; Bank
Papierkorb; Korb
Paketdienst; Dienst
Palmenblatt; Blatt
Panzerwagen; Wagen
Parkettboden; Boden
Parkplatz; Platz
Passagierzug; Zug
Passantenstrom; Strom
Passbilder; Bilder
Passform; Form
Patientenzimmer; Zimmer
Pausenglocke; Glocke
Pausenhof; Hof
Pechvogel; Vogel
Pelzmantel; Mantel
Pendellampe; Lampe
Pendeluhr; Uhr
Pensionsgast; Gast
Perlenhalskette; Kette
Perlenohrringe; Ohrringe
Pferderennen; Rennen
Pferdeställe; Ställe
Pferdeschwanz; Schwanz
Pfingstrose; Rose
Pflasterstein; Stein
Pflegefamilie; Familie
Pflichtgefühl; Gefühl
Pfützensprung; Sprung
Picknickdecke; Decke
Pilotenschein; Schein
Pilzgericht; Gericht
Pinselführung; Führung
Piratenfilm; Film
Pizzateig; Teig
Planungsbüro; Büro
Plattenbau; Bau
Plattenspieler; Spieler
Platzangst; Angst
Platzregen; Regen
Polizeiauto; Auto
Polizeiwache; Wache
Porzellanfigur; Figur
Postamt; Amt
Postbote; Bote
Postfach; Fach
Postauto; Auto
Preisschild; Schild
Probealarm; Alarm
Proberaum; Raum
Problemfall; Fall
Programmheft; Heft
Projektleiter; Leiter
Prüfstand; Stand
Prüfungsangst; Angst
Publikumsliebling; Liebling
Pulverschnee; Schnee
Pulsschlag; Schlag
Punktesystem; System
Puppenbett; Bett
Puppenstube; Stube
Putzmittel; Mittel
Pyramidenbau; Bau

Qualitätsware; Ware
Qualitätskontrolle; Kontrolle
Qualitätsmanagement; Management
Qualitätsstandard; Standard
Qualitätssicherung; Sicherung
Quarzuhr; Uhr
Quecksilber; Silber
Quellenangabe; Angabe
Quellennachweis; Nachweis
Quellensteuer; Steuer
Quellwasser; Wasser
Quellgebiet; Gebiet
Querbalken; Balken
Querfeldein; Feld
Querflöte; Flöte
Querformat; Format
Querkopf; Kopf
Querpass; Pass
Querschnitt; Schnitt
Querstange; Stange
Querstraße; Straße
Querverbindung; Verbindung
Quetschfalte; Falte
Quetschkartoffel; Kartoffel
Quittungsblock; Block
Quizfrage; Frage
Quizshow; Show
Quotenregelung; Regelung
Quadratzahl; Zahl
Quadratmeter; Meter
Quallengift; Gift
Quarantänezeit; Zeit
Quarkkuchen; Kuchen
Quartalsende; Ende
Quartiergeber; Geber
Quartiermeister; Meister
Quatschmacher; Macher
Quellbach; Bach
Quellcode; Code
Querdenker; Denker
Querlatte; Latte
Querriegel; Riegel
Quetschfrucht; Frucht
Quittenpaste; Paste
Quotendruck; Druck

Radargerät; Gerät
Radarkontrolle; Kontrolle
Radfahrer; Fahrer
Radlerhose; Hose
Radmutter; Mutter
Radtour; Tour
Radweg; Weg
Rahmenbedingung; Bedingung
Randnotiz; Notiz
Randspalte; Spalte
Rangordnung; Ordnung
Rasenfläche; Fläche
Rasenmäher; Mäher
Rasierklinge; Klinge
Rasierwasser; Wasser
Rastplatz; Platz
Ratsherr; Herr
Raubvogel; Vogel
Rauchfang; Fang
Rauchmelder; Melder
Rauchsäule; Säule
Rauchwolke; Wolke
Rauchzeichen; Zeichen
Raumfahrt; Fahrt
Raumlicht; Licht
Raumschiff; Schiff
Raumstation; Station
Raumtemperatur; Temperatur
Rebberg; Berg
Rebhuhn; Huhn
Rechenautomat; Automat
Rechenfehler; Fehler
Rechenmaschine; Maschine
Rechenschieber; Schieber
Rechenwerk; Werk
Rechtschreibfehler; Fehler
Rechtschreibung; Schreibung
Rechtsanwalt; Anwalt
Recyclinganlage; Anlage
Redaktionssitzung; Sitzung
Redensart; Art
Redewendung; Wendung
Reformhaus; Haus
Regenbogen; Bogen
Regentag; Tag
Regentonne; Tonne
Regentropfen; Tropfen
Regenwolke; Wolke
Regenwurm; Wurm
Regionalzeitung; Zeitung
Reibungswärme; Wärme
Reichsapfel; Apfel
Reichstag; Tag
Reichweite; Weite
Reifegrad; Grad
Reifenpanne; Panne
Reiseführer; Führer
Reisegepäck; Gepäck
Reisegruppe; Gruppe
Reisekasse; Kasse
Reisepass; Pass
Reisezeit; Zeit
Reiszwecke; Zwecke
Reitersmann; Mann
Reitpferd; Pferd
Reitschule; Schule
Rekordzeit; Zeit
Religionsunterricht; Unterricht
Rennauto; Auto
Rennbahn; Bahn
Rennboot; Boot
Rennfahrer; Fahrer
Rennpferd; Pferd
Rennrad; Rad
Rentenbescheid; Bescheid
Rentenkasse; Kasse
Rentenversicherung; Versicherung
Reporterteam; Team
Restmüll; Müll
Restposten; Posten
Rettungsboot; Boot
Rettungswagen; Wagen
Revierförster; Förster
Rezeptbuch; Buch
Rheinland; Land
Rheinschiffer; Schiffer
Rheumafaktor; Faktor
Rhythmusgefühl; Gefühl
Richtfest; Fest
Richterspruch; Spruch
Riegelbrett; Brett
Riesenrad; Rad
Rinderherde; Herde
Rinderbraten; Braten
Rindfleisch; Fleisch
Ringfinger; Finger
Ringkampf; Kampf
Rippenstück; Stück
Ritterburg; Burg
Ritterrüstung; Rüstung
Rittersaal; Saal
Ritzenschutz; Schutz
Roastbeef; Beef
Rockband; Band
Rockzipfel; Zipfel
Rohbau; Bau
Rohkost; Kost
Rohrleitungen; Leitungen
Rohstoff; Stoff
Rohrzucker; Zucker
Rollbahn; Bahn
Rollbalken; Balken
Rollbrett; Brett
Rollfilm; Film
Rollkragen; Kragen
Rollstuhl; Stuhl
Rolltreppe; Treppe
Rollvorhang; Vorhang
Romanheld; Held
Röntgenbild; Bild
Röntgengerät; Gerät
Röntgenstrahlen; Strahlen
Rosenblatt; Blatt
Rosenbusch; Busch
Rosengarten; Garten
Rosenkohl; Kohl
Rosenkranz; Kranz
Rosenstrauch; Strauch
Rosenstock; Stock
Rosenwasser; Wasser
Rosenzucht; Zucht
Rostfleck; Fleck
Rotkehlchen; Kehlchen
Rotlicht; Licht
Rotwein; Wein
Rückblick; Blick
Rückenmark; Mark
Rückenlehne; Lehne
Rückenwind; Wind
Rückfahrkarte; Karte
Rückfall; Fall
Rückgabe; Gabe
Rückhalt; Halt
Rücklage; Lage
Rücklauf; Lauf
Rücklicht; Licht
Rückprall; Prall
Rückruf; Ruf
Rückschlag; Schlag
Rücksicht; Sicht
Rückspiegel; Spiegel
Rücksprache; Sprache
Rückstau; Stau
Rücktritt; Tritt
Rückweg; Weg
Rückzug; Zug
Ruderboot; Boot
Ruderpinne; Pinne
Ruderverein; Verein
Ruhebank; Bank
Ruhepause; Pause
Ruheplatz; Platz
Ruhestand; Stand
Ruhezeit; Zeit
Ruhetag; Tag
Ruhezone; Zone
Ruhmeshalle; Halle
Rundblick; Blick
Rundbogen; Bogen
Rundfunk; Funk
Rundfunkgebühr; Gebühr
Rundgang; Gang
Rundreise; Reise
Rundschau; Schau
Rundschreiben; Schreiben
Rundweg; Weg
Runkelrübe; Rübe
Rupfentuch; Tuch
Rußfleck; Fleck

Saalbau; Bau
Sackmesser; Messer
Saftflasche; Flasche
Saitenspiel; Spiel
Saiteninstrument; Instrument
Salatschüssel; Schüssel
Salzfass; Fass
Salzgehalt; Gehalt
Salzstreuer; Streuer
Sammelalbum; Album
Sammelband; Band
Sammelmappe; Mappe
Sammeltasse; Tasse
Sammelwut; Wut
Samstagnacht; Nacht
Sandbank; Bank
Sandburg; Burg
Sandkasten; Kasten
Sandkorn; Korn
Sandstein; Stein
Sandstrand; Strand
Sandstrahlgebläse; Gebläse
Sanduhr; Uhr
Sanitäranlage; Anlage
Sanitätshaus; Haus
Sauerstoff; Stoff
Saugflasche; Flasche
Säulenhalle; Halle
Säulenkapitell; Kapitell
Sauna; Sauna
Schadenersatz; Ersatz
Schadenfreude; Freude
Schafbock; Bock
Schafherde; Herde
Schaffell; Fell
Schafskäse; Käse
Schallgeschwindigkeit; Geschwindigkeit
Schallmauer; Mauer
Schallplatte; Platte
Schallschutz; Schutz
Schallwelle; Welle
Schalterbeamte; Beamte
Schaltjahr; Jahr
Schaltknüppel; Knüppel
Schaltraum; Raum
Schaltschrank; Schrank
Schalttafel; Tafel
Schamröte; Röte
Schanzenwirt; Wirt
Scharbockskraut; Kraut
Scharfblick; Blick
Scharfschütze; Schütze
Scharfsinn; Sinn
Schattenbild; Bild
Schattenriss; Riss
Schattenseite; Seite
Schattenwurf; Wurf
Schätzwert; Wert
Schaufensterscheibe; Scheibe
Schaumbad; Bad
Schaumnester; Nester
Schauplatz; Platz
Schauspielkunst; Kunst
Scheckbuch; Buch
Scheibenwischer; Wischer
Scheinwerfer; Werfer
Schicksalsfügung; Fügung
Schicksalsschlag; Schlag
Schiedsrichter; Richter
Schieferplatte; Platte
Schienennetz; Netz
Schießstand; Stand
Schiffbruch; Bruch
Schiffsarzt; Arzt
Schiffshebewerk; Werk
Schiffsladung; Ladung
Schiffsmast; Mast
Schiffsplanke; Planke
Schiffsrumpf; Rumpf
Schiffswrack; Wrack
Schilderwald; Wald
Schildkröte; Kröte
Schimpfwort; Wort
Schirmherr; Herr
Schlafanzug; Anzug
Schlaffheit; Heit
Schlafmittel; Mittel
Schlafraum; Raum
Schlafrhythmus; Rhythmus
Schlafstörung; Störung
Schlafwandler; Wandler
Schlafzimmer; Zimmer
Schlagbaum; Baum
Schlagbolzen; Bolzen
Schlagersänger; Sänger
Schlagfertig; Fertig
Schlagkraft; Kraft
Schlagloch; Loch
Schlagsahne; Sahne
Schlagseite; Seite
Schlagwort; Wort
Schlagzeug; Zeug
Schlagzeile; Zeile
Schleiereule; Eule
Schleifstein; Stein
Schlitterbahn; Bahn
Schlittschuhlaufen; Laufen
Schloss; Loss
Schlossherr; Herr
Schlosspark; Park
Schluchtenwanderer; Wanderer
Schlummertrunk; Trunk
Schlüsselbein; Bein
Schlüsselbund; Bund
Schlüsselkind; Kind
Schlüsselrolle; Rolle
Schlüsselwort; Wort
Schmalspur; Spur
Schmalzbrot; Brot
Schmeckprobe; Probe
Schmerzensgeld; Geld
Schmetterlingsnetz; Netz
Schmiedekunst; Kunst
Schmierblatt; Blatt
Schmiergeld; Geld
Schmiermittel; Mittel
Schmierstoff; Stoff
Schminkecke; Ecke
Schminkspiegel; Spiegel
Schmusekatze; Katze
Schmutzbürste; Bürste
Schmutzfänger; Fänger
Schmutzwäsche; Wäsche
Schnabeltier; Tier
Schnapsidee; Idee
Schnapsglas; Glas
Schneeball; Ball
Schneebesen; Besen
Schneedecke; Decke
Schneeeule; Eule
Schneefall; Fall
Schneeflocke; Flocke
Schneeglöckchen; Glöckchen
Schneekette; Kette
Schneekugel; Kugel
Schneemann; Mann
Schneematsch; Matsch
Schneepflug; Pflug
Schneereifen; Reifen
Schneeschauer; Schauer
Schneeschmelze; Schmelze
Schneeverwehung; Verwehung
Schneewehe; Wehe
Schneezucker; Zucker
Schneidebrett; Brett
Schneidezahn; Zahn
Schnelldienst; Dienst
Schnellimbiss; Imbiss
Schnellstraße; Straße
Schnellzug; Zug
Schnittblumen; Blumen
Schnittlauch; Lauch
Schnittmuster; Muster
Schnittwunde; Wunde
Schnitzeljagd; Jagd
Schnupftabak; Tabak
Schnürboden; Boden
Schnürstiefel; Stiefel
Schokoladenkuchen; Kuchen
Schonbezug; Bezug
Schonkost; Kost
Schonzeit; Zeit
Schornstein; Stein
Schornsteinfeger; Feger
Schotterwege; Wege
Schottenrock; Rock
Schottland; Land
Schraubendreher; Dreher
Schraubenschlüssel; Schlüssel
Schraubenzieher; Zieher
Schraubstock; Stock
Schreckschuss; Schuss
Schreckgespenst; Gespenst
Schreibblock; Block
Schreibfehler; Fehler
Schreibmaschine; Maschine
Schreibtisch; Tisch
Schreibwaren; Waren
Schreibweise; Weise
Schriftbild; Bild
Schriftführer; Führer
Schriftgröße; Größe
Schriftrolle; Rolle
Schriftsteller; Steller
Schriftverkehr; Verkehr
Schriftzug; Zug
Schritttempo; Tempo
Schubfach; Fach
Schubkarre; Karre
Schubkraft; Kraft
Schublade; Lade
Schuhbürste; Bürste
Schuhgeschäft; Geschäft
Schuhkarton; Karton
Schuhputzer; Putzer
Schuhsohle; Sohle
Schulbank; Bank
Schulbuch; Buch
Schulbus; Bus
Schulchor; Chor
Schulferien; Ferien
Schulgarten; Garten
Schulgebäude; Gebäude
Schulklasse; Klasse
Schulkollege; Kollege
Schulnote; Note
Schulordnung; Ordnung
Schulranzen; Ranzen
Schulsport; Sport
Schultafel; Tafel
Schultasche; Tasche
Schulweg; Weg
Schulzeit; Zeit
Schulzimmer; Zimmer
Schulzeugnis; Zeugnis
Schuppentier; Tier
Schürzenjäger; Jäger
Schusswaffe; Waffe
Schussverletzung; Verletzung
Schusswunde; Wunde
Schutzbrille; Brille
Schutzdach; Dach
Schutzengel; Engel
Schutzgebiet; Gebiet
Schutzgitter; Gitter
Schutzhelm; Helm
Schutzmantel; Mantel
Schutzmaßnahme; Maßnahme
Schutzpatron; Patron
Schutzschild; Schild
Schutzvorrichtung; Vorrichtung
Schutzwall; Wall
Schwachstrom; Strom
Schwalbennest; Nest
Schwalbenflug; Flug
Schwamm; Wamm
Schwanenhals; Hals
Schwangerschaft; Schaft
Schwankungsbreite; Breite
Schwanzfeder; Feder
Schwarzbrot; Brot
Schwarzfahrer; Fahrer
Schwarzmarkt; Markt
Schwarzwälder; Wälder
Schwarzweißfilm; Film
Schwebebahn; Bahn
Schwefelgeruch; Geruch
Schweigepflicht; Pflicht
Schweinebraten; Braten
Schweinefleisch; Fleisch
Schweinestall; Stall
Schweißbrenner; Brenner
Schweißgerät; Gerät
Schweißperlen; Perlen
Schwellenangst; Angst
Schwenkbraten; Braten
Schwerkraft; Kraft
Schwermetall; Metall
Schwerpunkt; Punkt
Schwertfisch; Fisch
Schwertlilie; Lilie
Schwimmbad; Bad
Schwimmbecken; Becken
Schwimmblase; Blase
Schwimmflügel; Flügel
Schwimmweste; Weste

Tagesablauf; Ablauf
Tagesanbruch; Anbruch
Tagesarbeit; Arbeit
Tagesausflug; Ausflug
Tagesbeginn; Beginn
Tagesbericht; Bericht
Tagesdecke; Decke
Tagesform; Form
Tagesgestirn; Gestirn
Tageskarte; Karte
Tageslicht; Licht
Tagesordnung; Ordnung
Tagesplan; Plan
Tagesschau; Schau
Tageszeit; Zeit
Tagewerk; Werk
Tagebuch; Buch
Tagfalter; Falter
Tagtraum; Traum
Tafelberg; Berg
Tafelkreide; Kreide
Tafelrunde; Runde
Tafelservice; Service
Tafelsilber; Silber
Tafeltuch; Tuch
Tafelwasser; Wasser
Tafelwein; Wein
Talfahrt; Fahrt
Talkessel; Kessel
Talsperre; Sperre
Tandemfahrt; Fahrt
Tandempartner; Partner
Tandemsprung; Sprung
Tangotänzerin; Tänzerin
Tankdeckel; Deckel
Tankfüllung; Füllung
Tankstelle; Stelle
Tanksäule; Säule
Tannenbaum; Baum
Tannenharz; Harz
Tannenwald; Wald
Tannennadel; Nadel
Tannenzapfen; Zapfen
Tanzabend; Abend
Tanzfläche; Fläche
Tanzgruppe; Gruppe
Tanzkurs; Kurs
Tanzlokal; Lokal
Tanzschule; Schule
Tanzstunde; Stunde
Tapetenkleister; Kleister
Tapetenmuster; Muster
Tapetenwechsel; Wechsel
Taschendieb; Dieb
Taschengeld; Geld
Taschenlampe; Lampe
Taschenmesser; Messer
Taschenrechner; Rechner
Taschenuhr; Uhr
Tastenfeld; Feld
Tasteninstrument; Instrument
Tatsachenbericht; Bericht
Tattergreis; Greis
Tatzendruck; Druck
Taubenschlag; Schlag
Taubheit; Heit
Taubnessel; Nessel
Tauchboot; Boot
Taucherlunge; Lunge
Tauchflasche; Flasche
Tauchgang; Gang
Tauchsieder; Sieder
Taupunkt; Punkt
Tauwetter; Wetter
Taxameter; Meter
Taxifahrer; Fahrer
Taxistand; Stand
Teamarbeit; Arbeit
Teamgeist; Geist
Teamkollege; Kollege
Teamleiter; Leiter
Teebeutel; Beutel
Teekanne; Kanne
Teeküche; Küche
Teeservice; Service
Teestunde; Stunde
Teewasser; Wasser
Teigboden; Boden
Teigschüssel; Schüssel
Teigwaren; Waren
Teilzahlung; Zahlung
Telefonanschluss; Anschluss
Telefonbuch; Buch
Telefonleitung; Leitung
Telefonnummer; Nummer
Teleskop; Skop
Tellerwärmer; Wärmer
Tempelfest; Fest
Tempelbau; Bau
Tempolimit; Limit
Tennisarm; Arm
Tennisball; Ball
Tennisplatz; Platz
Tennisschläger; Schläger
Tensid; Sid
Teppichweber; Weber
Terrakottafigur; Figur
Testballon; Ballon
Testbild; Bild
Testfahrt; Fahrt
Testlauf; Lauf
Testbericht; Bericht
Testperson; Person
Testphase; Phase
Testpilot; Pilot
Testsieger; Sieger
Testspiel; Spiel
Testversion; Version
Theaterbühne; Bühne
Theatergruppe; Gruppe
Theaterkasse; Kasse
Theatermaske; Maske
Theaterstück; Stück
Theaterzelt; Zelt
Thermalbad; Bad
Thermoflasche; Flasche
Thermometer; Meter
Tiefbau; Bau
Tiefkühlfach; Fach
Tiefkühlkost; Kost
Tiefpunkt; Punkt
Tiefschlaf; Schlaf
Tiefschneehang; Hang
Tiefseefisch; Fisch
Tiefstand; Stand
Tierarzt; Arzt
Tierfreund; Freund
Tiergarten; Garten
Tiergehege; Gehege
Tierheim; Heim
Tierpark; Park
Tierpfleger; Pfleger
Tierschutz; Schutz
Tierzucht; Zucht
Tischbein; Bein
Tischdecke; Decke
Tischkante; Kante
Tischlampe; Lampe
Tischplatte; Platte
Tischtennisplatte; Platte
Tischtuch; Tuch
Titelblatt; Blatt
Titelkampf; Kampf
Titelseite; Seite
Tochtergesellschaft; Gesellschaft
Toilettenpapier; Papier
Tomatenmark; Mark
Tomatensaft; Saft
Tomatensauce; Sauce
Tonaufnahme; Aufnahme
Tonband; Band
Tonfärbung; Färbung
Tonkrug; Krug
Tonleiter; Leiter
Tonnendach; Dach
Tonträger; Träger
Tonwelle; Welle
Topfdeckel; Deckel
Topfhandschuh; Handschuh
Topflappen; Lappen
Topfpflanze; Pflanze
Torbogen; Bogen
Torerfolg; Erfolg
Torflügel; Flügel
Tormann; Mann
Torschluss; Schluss
Torschuss; Schuss
Torschütze; Schütze
Torte; Orte
Torwart; Wart
Totenbahre; Bahre
Totenbett; Bett
Totengräber; Gräber
Totenkopf; Kopf
Totenschein; Schein
Trabrennen; Rennen
Trachtenverein; Verein
Tragfläche; Fläche
Tragkraft; Kraft
Tragriemen; Riemen
Trainingsanzug; Anzug
Trainingsplan; Plan
Trainingsplatz; Platz
Trainingswoche; Woche
Transportmittel; Mittel
Transportschiff; Schiff
Transportwagen; Wagen
Traubensaft; Saft
Traueranzeige; Anzeige
Trauerbinde; Binde
Trauerfall; Fall
Trauerfeier; Feier
Trauerflor; Flor
Trauerkleidung; Kleidung
Trauermücke; Mücke
Trauerrand; Rand
Trauerspiel; Spiel
Trauerweide; Weide
Traumland; Land
Traumzeit; Zeit
Treibgas; Gas
Treibgut; Gut
Treibhaus; Haus
Treibholz; Holz
Treibjagd; Jagd
Treibmittel; Mittel
Treibriemen; Riemen
Treibsand; Sand
Treibstoff; Stoff
Trendsetter; Setter
Trennkost; Kost
Trennungslinie; Linie
Trennwand; Wand
Treppenabsatz; Absatz
Treppengeländer; Geländer
Treppenhaus; Haus
Treppensteigen; Steigen
Treppenaufgang; Aufgang
Treubruch; Bruch
Treueid; Eid
Treuhandkonto; Konto
Treuhänder; Händer
Treusorge; Sorge
Triangel; Angel
Trichterform; Form
Triebfeder; Feder
Triebkraft; Kraft
Triebwerk; Werk
Trinkbecher; Becher
Trinkflasche; Flasche
Trinkgeld; Geld
Trinkhalm; Halm
Trinkwasser; Wasser
Trittbrett; Brett
Trockendock; Dock
Trockenfutter; Futter
Trockenmauer; Mauer
Trockenmilch; Milch
Trockenpflaume; Pflaume
Trockenpilz; Pilz
Trommelfell; Fell
Trommelklang; Klang
Trommelschlag; Schlag
Tropenholz; Holz
Tropenkrankheit; Krankheit
Tropenwald; Wald
Tropenzone; Zone
Tropfhöhle; Höhle
Tropfstein; Stein
Troststimme; Stimme
Trugbild; Bild
Truggold; Gold
